VIN,Year,Model,Condition,Price,Exterior_Color,Interior_Color,Drivetrain,Fuel_Type,Transmission,Engine,State,Mileage
4477170,2023,Ridgeline Black Edition,New,"$47,920",Platinum,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,KY,
6801557,2022,Accord Sport 1.5T,New,"$30,470",Platinum,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,KY,
3015834,2022,Pilot Sport,New,"$40,770",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,MI,2
2179197,2022,Passport Elite,New,"$50,125",Black,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,KY,1
9091718,2022,Accord Sport 2.0T,New,"$34,755",Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,IN,3
8659986,2022,Accord Sport 1.5T,New,"$30,470",Sonic Gray Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,IN,255
1655117,2023,CR-V Hybrid Sport Touring,New,"$40,240",Platinum White Pearl,Gray,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,IN,25
8356147,2022,Accord Sport SE,New,"$31,960",Still Night Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,IN,6
6333032,2023,CR-V Hybrid Sport Touring,New,"$40,240",Urban Gray Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,GA,176
8469517,2022,Passport EX-L,New,"$42,053",Crystal Black Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,GA,12
9035069,2023,CR-V EX-L,New,"$36,505",Silver Metallic,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,OH,
7677880,2023,Odyssey Elite,New,"$50,965",Obsidian Black,Gray,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,OH,
1886046,2023,Ridgeline RTL,New,"$43,470",Pewter,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,OH,
5362341,2023,Odyssey EX-L,New,"$41,486",Gray,Gray,Front-wheel Drive,Gasoline,,3.5L V6 24V GDI SOHC,MI,4
4648652,2022,Ridgeline RTL-E,New,"$45,760",Platinum White Pearl,Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,GA,23
1955262,2022,Accord Hybrid Sport,New,"$32,560",Platinum White Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,GA,20
7767950,2022,Accord Hybrid Sport,New,"$32,560",Platinum White Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,GA,20
8988810,2022,Ridgeline RTL,New,"$42,810",Pacific Pewter Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,GA,23
4969265,2023,Odyssey Sport,New,"$43,050",Sonic Gray Pearl,Blk Lth,Front-wheel Drive,Gasoline,10-Speed Automatic,V6 Cylinder Engine,MI,0
9982184,2022,Pilot Special Edition,New,"$44,205",Crystal Black Pearl,Blk Lth,All-wheel Drive,Gasoline,9-Speed Automatic,V6 Cylinder Engine,MI,6
7578329,2023,Odyssey Sport,New,"$43,050",Platinum White Pearl,Blk Lth,Front-wheel Drive,Gasoline,10-Speed Automatic,V6 Cylinder Engine,MI,0
9521488,2022,Pilot TrailSport,New,"$46,105",Crystal Black Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,CA,7
6135930,2022,Pilot Touring 7-Passenger,New,"$46,465",Modern Steel Metallic,Black,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,CA,9
6752941,2022,Passport TrailSport,New,"$45,169",Black,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,CA,
3237112,2023,Ridgeline RTL-E,New,"$45,920",Platinum White Pearl,Beige,All-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI SOHC,NE,5
8709244,2023,CR-V Hybrid Sport Touring,New,"$39,845",Meteorite Gray Metallic,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,TX,16
9964804,2023,CR-V EX-L,New,"$36,900",Still Night Pearl,Black,All-wheel Drive,Gasoline,continuously variable automatic,4 Cylinder Engine,MO,12
4586042,2022,Pilot EX-L,New,"$42,950",Crystal Black Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,IA,7
2391677,2023,CR-V EX-L,New,"$36,983",Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,IA,10
2464784,2022,Pilot Sport,New,"$39,950",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,IA,15
8641582,2022,Pilot TrailSport,New,"$46,500",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-SPEED A/T,V6 Cylinder Engine,WI,12
3463619,2022,Pilot Sport,New,"$37,551",Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,LA,5
3201563,2022,HR-V EX-L,New,"$29,790",Midnight Amethyst,Black,All-wheel Drive,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,IL,
1533786,2023,CR-V EX-L,New,"$37,494",Platinum White Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,IL,5
2320531,2023,HR-V LX,New,"$24,895",Modern Steel Metallic,Black,FWD,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,IL,1
8106086,2022,Accord Sport 2.0T,New,"$34,755",Silver Metallic,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,KY,
7334660,2022,Pilot Special Edition,New,"$43,600",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,MI,5
9663004,2022,Accord Sport 2.0T,New,"$34,755",Crystal Black Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,IN,81
315898,2023,CR-V EX,New,"$34,405",Canyon,Black,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,IN,3
833593,2022,Accord Hybrid Sport,New,"$32,158",Sonic Gray Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,OH,0
4265535,2023,Odyssey Elite,New,"$50,915",Obsidian Black,Gray,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,OH,
1433341,2023,Odyssey Touring,New,"$46,290",Pewter,Mocha,Front-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,OH,
2047813,2022,Accord Hybrid Sport,New,"$32,560",Still Night Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,GA,20
8786603,2022,Pilot EX-L,New,"$43,195",Platinum White Pearl,Blk Lth,All-wheel Drive,Gasoline,9-Speed Automatic,V6 Cylinder Engine,MI,0
3727405,2022,Passport EX-L,New,"$40,995",Crystal Black Pearl,Blk Lth-Trmmed Seats,All-wheel Drive,Gasoline,9-Speed Automatic,V6 Cylinder Engine,MI,0
3793810,2023,CR-V Hybrid Sport Touring,New,"$39,845",Lunar Silver Metallic,Black,All-wheel Drive,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,GA,0
9890368,2023,CR-V Hybrid Sport Touring,New,"$40,240",Platinum White Pearl,Black,All-wheel Drive,Hybrid,Variable,Gas/Electric I-4 2.0 L/122,GA,0
9078692,2023,CR-V Hybrid Sport Touring,New,"$39,845",Crystal Black Pearl,Black,All-wheel Drive,Hybrid,,2.0L I4 16V GDI DOHC Hybrid,GA,3
8006032,2022,Pilot Special Edition,New,"$44,600",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,OH,2
9751613,2022,Pilot Sport,New,"$41,770",Platinum White Pearl,Black,AWD,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,OH,2
4055816,2023,CR-V Hybrid Sport Touring,New,"$40,240",Platinum White Pearl,Black,All-wheel Drive,Hybrid,OTHER,2.0L I4 16V GDI DOHC Hybrid,OH,3
6561687,2023,CR-V Hybrid Sport Touring,New,"$39,845",Crystal Black Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,OH,0
9915013,2023,CR-V Hybrid Sport,New,"$34,090",Platinum,Black,FWD,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,OH,10
9282003,2022,Accord Sport 2.0T,New,"$38,550",Platinum White Pearl,Black,Front-wheel Drive,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,NC,9
2594950,2022,Pilot Sport,New,"$41,770",Sonic Gray Pearl,Black,AWD,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,FL,3
8400964,2022,Pilot EX-L,New,"$42,000",Platinum White Pearl,Beige,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,NC,6
2509288,2022,Passport EX-L,New,"$48,205",Lunar Silver Metallic,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,NC,0
2684314,2022,Passport EX-L,New,"$48,600",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,NC,0
592914,2022,Accord Hybrid Sport,New,"$35,401",Sonic Gray Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,NC,0
1215289,2022,Pilot Black Edition,New,"$53,165",Crystal,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,FL,6
9607612,2022,Accord Touring,New,"$38,810",Platinum White Pearl,Ivory,Front-wheel Drive,Gasoline,Automatic,Intercooled Turbo Regular Unleaded I-4 2.0 L/122,FL,0
3824934,2022,Pilot Black Edition,New,"$53,560",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,VA,14
4259865,2022,Pilot TrailSport,New,"$46,500",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,VA,14
6841929,2022,Pilot Sport,New,"$41,770",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,VA,1
3889554,2022,Pilot TrailSport,New,"$46,105",Crystal Black Pearl,Black,AWD,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,VA,4
4800306,2022,Passport EX-L,New,"$41,153",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,VA,2750
3848170,2022,Passport TrailSport,New,"$44,660",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,VA,10
8848586,2022,Passport TrailSport,New,"$44,660",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,MD,12
185089,2023,CR-V EX-L,New,"$35,005",Crystal Black Pearl,Gray,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,FL,15
6635680,2022,Civic Si Base,New,"$28,990",Platinum White Pearl,Black / Red,Front-wheel Drive,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,FL,3
6779451,2022,CR-V EX,New,"$29,485",Platinum White Pearl,Black,Front-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,FL,11
7882963,2023,CR-V Hybrid Sport Touring,New,"$40,240",Urban Gray,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,VA,10
2546840,2023,Ridgeline RTL-E,New,"$46,420",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,DE,0
1534549,2022,Pilot Touring 7-Passenger,New,"$48,465",Crystal Black Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,PA,3
6506566,2023,Ridgeline RTL,New,"$43,125",Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,NJ,
1986046,2022,HR-V Sport,New,"$26,545",Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,CT,5
9000576,2022,HR-V Sport,New,"$26,545",Aegean Blue Metallic,Black,All-wheel Drive,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,CT,5
9224321,2023,HR-V Sport,New,"$28,790",Pearl,Black,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,CT,
9488363,2022,HR-V Sport,New,"$26,940",Platinum,Black,All-wheel Drive,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,CT,9
1807551,2023,CR-V Hybrid Sport,New,"$35,745",Gray,Black,All-wheel Drive,Hybrid,electronic continuously variable,4 Cylinder Engine,MA,5
6468347,2022,Pilot TrailSport,New,"$42,687",Lunar Silver Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,MA,13
1044325,2022,Pilot TrailSport,New,"$42,780",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,MA,15
1286079,2023,CR-V Hybrid Sport Touring,New,"$39,447",Meteorite Gray Metallic,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,MA,5
6620275,2022,Pilot Touring 7-Passenger,New,"$48,465",Modern Steel Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,MA,5
2780263,2022,Pilot Special Edition,New,"$44,205",Lunar Silver Metallic,Gray,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,MA,1
8922906,2022,Pilot Touring 7-Passenger,New,"$48,860",Deep Scarlet Pearl,Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,MA,1
8153568,2022,Pilot EX-L,New,"$44,000",Platinum White Pearl,Beige,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,MA,1
6725607,2023,CR-V Hybrid Sport Touring,New,"$40,240",Urban Gray Pearl,Black,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,MA,4
5324473,2022,Pilot EX-L,New,"$44,000",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,MA,1
8897618,2023,CR-V EX,New,"$34,250",Radiant Red Metallic,Gray,AWD,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,CA,5
9966534,2023,CR-V Hybrid Sport,New,"$34,150",Urban Gray Pearl,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,CA,3
5732410,2023,Odyssey Touring,New,"$46,400",Radiant Red Metallic II,Beige,FWD,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,CA,
5163634,2023,Ridgeline RTL,New,"$41,110",Radiant Red Metallic II,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,CA,
2335300,2022,Pilot EX-L,New,"$42,000",Platinum White Pearl,Black,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,CA,5
3627750,2022,Pilot Sport,New,"$40,770",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,NV,7
2508644,2022,Pilot Sport,New,"$39,406",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,AZ,12
7983861,2023,CR-V EX-L,New,"$36,900",Radiant Red Metallic,Gray,All-wheel Drive,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,CO,
1480795,2022,Pilot Special Edition,New,"$43,687",Sonic Gray Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,WA,3
6810890,2022,Pilot Special Edition,New,"$41,765",Platinum White Pearl,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,WA,
